brand,animal_type,product_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy
DID YOU FEED THE DOG?,Dogs,1,12.95,4.6,20464,7,20464
DJANGO,Dogs,1,45.0,4.3,31,1,31
DNC,Dogs,1,,4.4,160,1,160
DOG HELIOS,Dogs,1,66.19,4.1,455,2,455
DOG STORY,Dogs,2,19.9,4.25,73,6,73
DOG for DOG,Dogs,1,9.99,4.6,153,1,153
DOGGYZSTYLE,Dogs,1,11.99,4.4,1630,3,1630
DOGNESS,Cats,1,29.99,4.1,1266,1,1266
DOGNESS,Dogs,1,14.99,3.9,202,1,202
DOGSAYS,Dogs,1,10.99,4.8,1118,1,1118
DOGWONG,Dogs,1,16.99,4.6,1480,1,1480
DOHO,Fish & Aquatic Pets,1,16.99,4.3,86,1,86
DOTON,Cats,1,11.99,4.1,6408,4,6408
DOYOO,Dogs,1,,4.6,3324,4,3324
DPOEGTS,Dogs,1,38.99,4.6,354,1,354
DR. PETS,Dogs,1,,3.8,49,1,49
DR.PETRA,Cats,1,9.99,3.5,199,3,199
DREAM&GLAMOUR,Dogs,1,35.99,4.2,149,1,149
DREAMDEALS So Good,Fish & Aquatic Pets,1,,4.3,102,1,102
DUBIDUX,Dogs,1,,3.6,36,1,36
DYBEN,Cats,1,6.98,4.6,8114,2,8114
DZH,Dogs,1,,5.0,3,1,3
DZKAPETS,Dogs,1,39.99,4.6,58,1,58
Daoeny,Birds,1,11.99,4.2,936,1,936
Darford,Dogs,1,7.49,4.6,262,5,262
Darkyazi,Dogs,1,10.99,4.4,4685,1,4685
Dave's Pet Food,Cats,1,48.99,4.1,1318,1,1318
Davie's Naturals,Dogs,1,19.99,4.2,1639,1,1639
Dazzber,Dogs,1,15.99,4.6,3488,1,3488
Dbeans Flourithing,Fish & Aquatic Pets,1,7.39,4.1,2505,1,2505
DealG,Dogs,1,12.6,4.2,105,1,105
Dealzip Inc,Dogs,1,,5.0,1,1,1
Dean & Tyler,Dogs,2,67.95,4.65,93,2,93
Dechra,Dogs,2,,4.7,940,2,940
Delectables,Cats,1,14.99,4.8,500,1,500
Delightibles,Cats,1,,4.4,236,1,236
Deluxe Naturals,Dogs,1,65.95,4.6,1357,3,1357
Delxo,Dogs,1,,4.0,170,1,170
Demigreat,Dogs,2,15.989999999999998,4.1,5416,2,5416
Dentalife,Dogs,2,10.58,4.65,7482,30,7482
Derby Originals,Dogs,1,44.99,4.8,285,1,285
Derby Originals,Horses,1,,4.4,254,1,254
Dermoscent,Dogs,1,24.95,4.5,1284,1,1284
Deummiu,Dogs,1,17.99,4.3,445,1,445
Devil Dog Pet Co,Dogs,1,19.97,4.3,6030,3,6030
Dexas,Dogs,3,22.439999999999998,4.5,59128,12,59128
Dexas,Cats,1,25.73,4.5,938,2,938
Dexil Limited,Dogs,1,,4.7,38,1,38
Dezi & Roo,Cats,1,12.99,4.4,93,1,93
Diamond Naturals Grain Free,Dogs,1,,4.6,2236,4,2236
Diamondg,Dogs,1,39.99,4.3,1226,2,1226
Didog,Dogs,7,15.132857142857143,4.242857142857143,21031,11,21031
Diggin' Your Dog,Dogs,1,14.99,4.6,1055,1,1055
Dimaka,Cats,1,21.99,4.4,6526,1,6526
Dingo,Dogs,9,63.875,4.577777777777778,11579,38,11579
Dociote,Dogs,4,18.84,4.1,17054,5,17054
Dog Chow,Dogs,1,,4.5,887,3,887
Dog Collar Tag,Dogs,1,19.99,4.6,68,2,68
Dog Diggin Designs,Dogs,1,14.45,4.5,2076,1,2076
Dog Fashion Spa,Dogs,1,,3.8,5,1,5
Dog Gone Smart Pet Products,Dogs,1,67.59,4.7,13584,6,13584
Dog Karma,Dogs,2,9.49,4.75,11570,8,11570
Dog Nip!,Dogs,2,24.99,3.95,200,2,200
Dog Quality,Dogs,1,19.95,3.5,1531,1,1531
Dog Tag Art,Dogs,1,19.0,4.6,511,1,511
DogBaby,Cats,1,79.99,4.3,3862,1,3862
DogBuddy,Dogs,1,19.99,4.6,679,2,679
DogLemi,Dogs,1,17.99,4.2,913,1,913
DogRook,Dogs,1,29.99,3.8,64142,16,64142
Dogbed4less,Dogs,5,55.266000000000005,4.42,7245,5,7245
Doggie Stylz,Dogs,4,29.3675,4.300000000000001,3166,4,3166
Doggie Walk Bags,Dogs,1,,4.3,318,1,318
Doggiez Pet Supplies,Dogs,1,10.99,4.7,51,1,51
Doggles,Dogs,3,14.47,4.033333333333334,863,4,863
Dogit,Dogs,2,15.99,4.45,10391,12,10391
Dogline,Dogs,4,17.7,4.075,460,4,460
Dogloveit,Cats,1,7.97,4.3,813,1,813
Dogs Kingdom,Dogs,3,10.12,4.3999999999999995,2555,3,2555
Dogswell,Dogs,5,6.99,4.0,1154,9,1154
Dogtra,Dogs,2,92.49,4.300000000000001,2441,3,2441
Dogwidgets,Dogs,1,,4.0,2845,1,2845
Domgoopet,Cats,1,,4.0,642,5,642
Doskocil,Dogs,1,,3.8,57,1,57
Dotoner,Dogs,1,29.99,4.1,11467,2,11467
Dougez,Dogs,1,,3.2,8,1,8
Downtown Pet Supply,Dogs,17,17.548823529411763,4.270588235294118,51324,55,51324
Downtown Pet Supply,Cats,3,50.32333333333333,4.366666666666666,5812,6,5812
Downtown Pet Supply,Birds,1,30.99,4.6,2333,1,2333
Downtown Pet Supply,Horses,1,19.99,4.4,59,1,59
Dr. Becker's,Dogs,1,16.55,4.3,130,1,130
Dr. Elsey's,Cats,2,31.99,4.5,7746,8,7746
Dr. Fremont's,Dogs,1,2.77,4.5,46194,20,46194
Dr. Harvey's,Birds,1,31.97,4.6,2079,1,2079
Dr. Harvey's,Dogs,1,12.0,4.6,1832,2,1832
Dr. Marty,Dogs,1,39.0,4.2,373,1,373
DrTim's Aquatics,Fish & Aquatic Pets,1,14.87,4.4,1469,1,1469
DreamBone,Dogs,8,32.52166666666667,4.5125,24037,68,24037
DreamCat,Cats,1,12.99,4.5,137,1,137
DroolingDog,Dogs,12,12.626363636363635,4.358333333333333,13570,16,13570
Drymate,Dogs,1,54.99,4.5,2969,1,2969
DuLaSeed,Cats,1,10.9,4.3,378,2,378
Due Felice,Dogs,1,17.99,4.1,192,1,192
DuraGear Seat Covers,Dogs,1,,3.3,26,1,26
Durvet,Dogs,1,20.99,4.2,155,1,155
E-KOMG,Dogs,1,15.98,4.0,5715,3,5715
EAARTCHI,Dogs,1,19.99,4.4,331,1,331
EARTH ANIMAL,Dogs,2,10.99,4.6,15152,4,15152
EASELAND,Dogs,1,33.99,4.3,190,1,190
EASTOP,Dogs,1,9.99,4.4,87,1,87
EC.TEAK,Dogs,2,15.489999999999998,4.15,14597,2,14597
ECO-WILL,Dogs,1,39.99,4.2,141,1,141
EGM,Cats,1,,4.3,9,1,9
EHEYCIGA,Dogs,2,59.864999999999995,4.55,1253,2,1253
ELEBOX,Fish & Aquatic Pets,1,16.99,4.5,1887,1,1887
ELEGX,Dogs,2,46.739999999999995,4.3,739,3,739
ELOPAW,Dogs,1,29.99,4.0,8184,2,8184
EMUST,Dogs,4,31.323333333333334,4.325,7930,5,7930
EMUST,Cats,1,17.99,4.3,2199,2,2199
ERAARK,Fish & Aquatic Pets,1,39.99,3.6,60,1,60
ERKOON,Small Animals,1,8.99,4.6,284,1,284
ESK Collection,Dogs,1,55.99,4.5,12554,8,12554
ESPAWDA,Dogs,1,24.99,4.1,1162,1,1162
ETTA SAYS!,Dogs,2,46.49,4.65,1537,2,1537
EUKANUBA,Dogs,7,52.989999999999995,4.585714285714286,7707,16,7707
EUOTEO,Dogs,1,29.99,5.0,20,1,20
EVBEA,Dogs,1,14.99,4.1,987,1,987
EXCELLENT ELITE SPANKER,Dogs,3,32.79,4.466666666666666,6772,3,6772
EXPAWLORER,Dogs,12,15.19909090909091,4.166666666666667,26912,24,26912
EXPAWLORER,Cats,3,11.99,4.333333333333333,2427,4,2427
EZwhelp,Dogs,1,10.49,4.7,10458,6,10458
Eagloo,Dogs,1,25.99,4.5,24945,3,24945
Earth Rated,Dogs,4,9.3675,4.775,276873,53,276873
Earthblend Super Premium Natural Dog Food,Dogs,1,29.99,4.6,180,1,180
Earthborn Holistic,Dogs,4,,4.55,1237,5,1237
East Side Collection,Dogs,1,12.32,4.5,113,2,113
EasyCare,Horses,1,78.95,3.5,9,1,9
Eco Animal Pet Products,Birds,1,,4.4,5,1,5
EcoBark,Dogs,2,14.989999999999998,4.4,24355,17,24355
EcoKind Pet Treats,Dogs,4,73.7,4.1,5877,6,5877
Educator,Dogs,1,199.99,4.6,8515,1,8515
Eheim,Fish & Aquatic Pets,1,25.51,4.5,5948,2,5948
Eight In One (8 In 1),Small Animals,1,,4.4,309,3,309
Elegant little tail,Dogs,1,15.99,4.7,847,1,847
Elevation Lab,Dogs,1,59.95,4.6,2567,2,2567
EliteField,Dogs,2,72.49,4.5,20236,7,20236
Elkhorn Premium Chews,Dogs,1,13.99,4.6,5769,1,5769
Embark Pets,Dogs,2,23.990000000000002,4.6,11325,3,11325
Emerald Pet,Cats,1,5.99,4.2,2609,4,2609
Emergency Leash,Dogs,1,,3.4,47,1,47
Enchanted Home Pet,Cats,1,202.98,4.7,4088,2,4088
Eniva Health,Cats,1,29.95,4.4,126,1,126
Ensayeer,Birds,1,24.99,3.9,452,1,452
Equine Care,Horses,1,45.99,4.0,76,1,76
Esosy,Dogs,2,19.99,4.45,2440,3,2440
Espree,Dogs,1,19.0,4.4,167,1,167
Etekcity,Dogs,1,,4.0,155,1,155
Eterish,Dogs,1,37.99,4.7,2750,1,2750
Eurigo,Dogs,1,,4.5,252,1,252
EuroPet,Dogs,1,12.95,4.5,114,1,114
Evanger's,Dogs,1,27.48,4.5,1436,2,1436
Evelots,Dogs,1,15.99,4.1,1864,2,1864
EverBrit,Cats,1,35.99,3.8,25,1,25
EverNary,Dogs,1,29.99,4.4,2086,1,2086
Evolve,Dogs,1,,4.6,547,2,547
Evursua,Dogs,1,13.5,4.4,929,1,929
Exhart,Dogs,1,34.99,4.0,12,1,12
Exo Terra,Reptiles & Amphibians,4,13.485,4.425,4627,6,4627
Explore Land,Birds,1,24.99,4.1,1102,1,1102
Explore Land,Dogs,1,24.99,4.6,14083,1,14083
ExtreFun,Dogs,1,13.99,4.2,360,1,360
Extreme Dog Fence,Dogs,1,13.95,4.6,2983,1,2983
Eyenimal,Dogs,1,,4.1,223,1,223
EzyDog,Dogs,3,29.246666666666666,4.533333333333334,4308,3,4308
F-color,Dogs,2,34.99,4.6,13876,4,13876
F.M. Brown's,Birds,1,,4.2,33,1,33
FABLE,Dogs,1,55.0,4.3,154,2,154
FABRICASTLE,Dogs,1,15.99,4.3,1971,1,1971
FAIRWIN,Dogs,2,18.99,4.5,8869,6,8869
FATTY CHOWCHOW,Dogs,1,23.99,4.3,1057,2,1057
FAYOCO,Dogs,1,9.95,4.7,33,1,33
FAYOGOO,Cats,1,,4.0,225,1,225
FAYOGOO,Dogs,1,16.99,4.3,2461,2,2461
FDC,Dogs,1,18.95,4.5,445,1,445
FEANDREA,Cats,2,29.99,4.5,5519,2,5519
FEDOUR,Fish & Aquatic Pets,1,11.97,4.3,573,1,573
FEEYAR,Cats,1,14.99,4.3,296,1,296
FEEYAR,Dogs,1,17.99,4.0,339,1,339
FEimaX,Dogs,1,11.99,4.2,301,1,301
FIDELIS,Dogs,1,75.95,4.3,43,1,43
FIDO NATURALS,Dogs,2,23.990000000000002,4.75,2259,6,2259
FIPASEN,Reptiles & Amphibians,1,23.99,4.3,48,1,48
FLAdorepet,Small Animals,1,16.9,4.5,554,2,554
FLEXI,Dogs,7,26.05333333333333,4.142857142857143,19554,22,19554
FOKICOS,Cats,1,,4.2,74,2,74
FOLKSMATE,Dogs,1,5.97,4.5,6212,1,6212
FOXICO,Dogs,1,17.99,4.2,26,1,26
FREESEA,Fish & Aquatic Pets,1,,3.9,826,1,826
FRISKY FRIENDS,Dogs,1,49.99,4.6,85,2,85
FRONTLINE,Dogs,3,32.46,4.466666666666667,62917,26,62917
FUAMEY,Dogs,1,43.99,4.6,2277,2,2277
FUKUMARU,Cats,1,,4.3,765,1,765
FULUE,Small Animals,1,13.99,4.7,1690,1,1690
FUNKEEN PET HOUSE,Dogs,1,39.99,4.4,798,1,798
FURRY FIDO,Dogs,1,22.99,4.2,1040,1,1040
FURRYFECTION,Dogs,1,24.99,4.4,1533,1,1533
FURminator,Dogs,6,39.11,4.466666666666667,109036,43,109036
FURminator,Cats,2,29.0,4.65,16269,13,16269
FUZZU,Cats,1,22.16,4.0,30,3,30
FUZZU,Dogs,1,11.99,4.0,151,1,151
FXGOING,Dogs,1,19.99,4.2,282,1,282
FXW,Dogs,1,89.99,4.7,7269,2,7269
Fairsh,Dogs,1,17.99,4.2,2775,1,2775
Faleela,Cats,1,9.99,4.6,2422,2,2422
Faleela,Dogs,1,10.99,4.7,3272,3,3272
Famedy,Dogs,1,13.99,3.5,17,1,17
Farmina,Cats,1,,4.5,75,1,75
Farmland Traditions,Dogs,2,23.995,4.65,9576,14,9576
Farnam,Horses,1,145.99,4.8,293,1,293
Fashion Pet,Dogs,1,28.12,3.7,266,1,266
Fashion&cool,Dogs,1,11.99,4.2,4469,4,4469
Fashion's Talk,Cats,1,11.39,4.6,8786,5,8786
Fasten Tight,Dogs,1,11.75,4.7,522,1,522
Fat Cat,Cats,3,5.843333333333334,3.633333333333333,2650,4,2650
Featherland Paradise,Birds,1,13.4,4.1,227,2,227
Feeko,Dogs,1,16.99,4.6,11206,2,11206
Feline Pine,Cats,2,,4.4,6527,5,6527
Femonden,Dogs,1,,4.5,148,1,148
Ferplast,Dogs,1,18.56,4.1,631,1,631
Fida,Dogs,3,14.19,4.533333333333334,51326,6,51326
Fido's Fences,Dogs,1,19.99,4.4,1666,1,1666
Fieldcrest Farms,Dogs,3,19.74,4.533333333333333,629,4,629
Finest For Pets,Dogs,2,24.35,4.3,2644,4,2644
Finnex,Fish & Aquatic Pets,1,89.99,4.2,1306,1,1306
Firstnos,Dogs,1,19.97,3.9,54,1,54
Fitter Critter,Dogs,1,,4.2,70,2,70
Fitwarm,Dogs,16,13.847142857142858,4.53125,24818,26,24818
Fitwarm,Cats,4,13.99,4.175,11540,9,11540
Five Star Pet,Dogs,1,7.49,4.5,131,1,131
Fizzion,Cats,1,,4.5,364,2,364
Flashseen,Dogs,2,17.14,4.25,1081,2,1081
Flatfoosie,Dogs,1,14.99,3.9,255,1,255
Flexzion,Dogs,2,67.97,4.35,1073,2,1073
Flourish,Dogs,1,,4.5,180,1,180
Fluffery,Dogs,1,,4.5,45,1,45
FluffyDream,Cats,1,27.99,4.7,1529,1,1529
Fluker's,Reptiles & Amphibians,4,8.515,4.475,15958,4,15958
Fluker's,Dogs,1,6.09,4.0,699,1,699
Flurff,Cats,1,16.99,4.1,227,1,227
Flutnel,Dogs,1,18.99,3.0,404,1,404
Fluval,Fish & Aquatic Pets,9,40.345555555555556,4.611111111111111,9863,15,9863
Fly Free,Horses,1,64.99,4.5,70,1,70
Flying Pig Grooming,Dogs,1,145.0,4.7,1881,1,1881
Fortiflex,Horses,1,47.17,4.6,9,1,9
Fountain Blue,Cats,1,,3.8,197,1,197
Four Paws,Dogs,6,15.72,4.333333333333333,46757,49,46757
Four Paws,Cats,2,4.6,3.45,5501,4,5501
Fowl Play Products,Birds,1,,4.0,321,1,321
Foxyep,Dogs,1,12.99,4.6,193,1,193
Fragralley,Dogs,1,37.99,4.4,886,1,886
Franklin Sports,Dogs,5,13.835,4.359999999999999,8345,11,8345
Freefa,Dogs,1,12.99,4.5,5000,2,5000
Freely,Dogs,3,,4.066666666666666,312,4,312
Fresh Dog,Dogs,1,,3.8,242,1,242
Fresh News Paper Cat Litter,Cats,1,12.48,4.5,1425,1,1425
Fresh Step,Cats,5,15.43,4.58,50749,20,50749
Frienda,Dogs,1,15.99,4.4,588,1,588
Friends Forever,Dogs,3,99.715,4.633333333333333,7718,4,7718
Friends Forever,Cats,1,29.57,4.5,33,2,33
Fringe Studio,Dogs,1,10.8,4.7,174,1,174
Friskies,Cats,9,28.14,4.666666666666667,145960,119,145960
From The Field,Cats,1,8.78,4.4,4232,3,4232
Fromm,Dogs,1,37.99,4.7,277,1,277
Front Porch Pets,Dogs,1,96.89,4.7,1173,2,1173
FrontPet,Dogs,1,74.99,4.3,3302,1,3302
Fruitables,Dogs,5,13.27,4.62,22544,30,22544
Full Moon,Dogs,6,13.290000000000001,4.683333333333334,35094,33,35094
FunTags,Dogs,2,7.24,4.65,19635,4,19635
Funio,Dogs,2,,4.4,171,2,171
Funtone Colors,Dogs,1,15.97,4.4,1357,1,1357
Furhaven,Dogs,12,66.76777777777778,4.358333333333333,213710,74,213710
Furhaven,Cats,9,40.589999999999996,4.377777777777777,142535,44,142535
Furniture Defender,Cats,1,9.9,4.3,2582,1,2582
Furpezoo,Dogs,1,,4.3,106,1,106
Furry Republic,Dogs,1,7.99,4.5,362,4,362
Furryilla,Dogs,1,10.99,4.5,46,1,46
Fussie Cat,Cats,1,41.95,4.6,2100,1,2100
Futmtu,Dogs,1,10.99,4.3,235,1,235
Fuufome,Dogs,1,10.79,4.0,4649,1,4649
Fuz Bigaza,Dogs,1,12.99,4.4,1485,1,1485
Fuzilin,Dogs,1,5.38,3.5,972,1,972
FuzzBall,Dogs,1,42.99,4.4,8241,2,8241
FuzzyMilky,Cats,1,34.99,4.0,503,1,503
GAINES FAMILY FARMSTEAD PREMIUM PET PRODUCTS USA,Dogs,1,18.99,4.4,198,1,198
GAUTERF,Dogs,1,9.96,4.1,13862,6,13862
GENMAI SOEASY,Dogs,1,7.68,3.9,91,1,91
GENORTH,Dogs,1,23.99,4.4,8300,3,8300
GEVLOT,Dogs,1,,4.2,19,1,19
GLORY,Cats,1,9.99,3.8,277,1,277
GOHOO PET,Dogs,1,34.99,4.3,963,1,963
GOOPAWS,Cats,1,29.99,4.4,677,1,677
GRIZZLY PET PRODUCTS FOODS & SUPPLEMENTS ALL-NATURAL,Cats,1,14.99,4.6,3586,2,3586
GROOM GENIE,Dogs,1,,4.3,15,1,15
GROOVYPETS,Dogs,1,49.95,3.8,496,1,496
GUCHO,Dogs,1,11.99,4.1,5886,1,5886
GUTINNEEN,Small Animals,1,119.99,4.0,418,1,418
GXT,Dogs,1,35.54,4.2,32,1,32
GabeFish,Cats,1,34.99,4.0,38,1,38
GabeFish,Dogs,1,11.99,3.8,2007,1,2007
Gamma2,Dogs,1,12.04,4.7,695,2,695
Gamma3,Dogs,1,32.05,4.7,1925,1,1925
Gavenia,Cats,1,18.99,4.5,2313,1,2313
Gen7Pets,Dogs,2,152.365,4.45,1744,2,1744
Generic,Fish & Aquatic Pets,1,5.99,3.8,10,1,10
Geyecete,Dogs,3,25.323333333333334,4.266666666666667,1043,3,1043
Geyoga,Dogs,1,15.99,4.3,1216,2,1216
Gigwi,Cats,2,22.49,3.9,2832,2,2832
Gimars,Dogs,1,43.79,4.6,4694,1,4694
GingerLead,Dogs,1,69.95,4.3,3232,1,3232
Glad,Dogs,2,5.19,4.4,111052,56,111052
Gladot,Birds,1,,4.4,169,2,169
GloFish,Fish & Aquatic Pets,3,10.64,4.2,3462,5,3462
Gnawsome,Dogs,1,4.99,4.6,6636,3,6636
Go Go Cute Puppy,Dogs,1,12.99,4.6,2195,3,2195
Go Pet Club,Cats,3,79.47666666666667,4.533333333333334,8738,10,8738
Go Pet Club,Dogs,2,86.44,4.5,3146,4,3146
GoCat,Cats,4,10.98,4.55,8394,17,8394
GoGo Pet Products,Dogs,1,,4.1,53,1,53
GoPets,Dogs,1,34.99,4.5,2192,4,2192
GoTags,Dogs,9,11.4375,4.577777777777778,177408,69,177408
GoTags,Cats,1,15.95,4.4,5243,1,5243
Gold Paw,Dogs,1,28.0,4.6,1790,2,1790
Gooby,Dogs,13,23.54111111111111,4.2846153846153845,63629,55,63629
Good'n'Fun,Dogs,8,46.421666666666674,4.5,77412,87,77412
GoodBoy,Dogs,2,18.99,3.8499999999999996,21009,4,21009
Gorilla Grip,Cats,2,24.490000000000002,4.4,7324,3,7324
Gorilla Grip,Dogs,2,26.490000000000002,4.5,25321,4,25321
Gou Gou Pets,Dogs,2,16.49,4.4,32,2,32
Goughnuts,Dogs,2,38.95,4.4,9914,14,9914
Gourmate Pet Treat Co.,Dogs,1,14.99,4.0,111,1,111
Gouwan,Dogs,1,29.99,4.4,146,1,146
Grannick's,Dogs,1,,3.8,457,2,457
Great Pets,Dogs,1,44.99,4.1,801,1,801
Great-Dealz,Dogs,1,,3.9,936,2,936
Grecle,Dogs,2,19.49,4.55,6411,2,6411
Green Butterfly Brands,Dogs,1,14.95,4.5,1088,2,1088
Green Gruff,Dogs,1,19.66,4.0,805,1,805
Greenies,Dogs,8,28.65,4.725,61458,164,61458
Greenies,Cats,5,28.634999999999998,4.74,39618,45,39618
Greenpro,Fish & Aquatic Pets,1,16.99,4.3,307,1,307
Groomist,Dogs,1,,4.3,436,1,436
Grubbly Farms,Birds,1,19.99,4.5,7051,4,7051
Gtongoko,Dogs,1,39.99,4.3,1057,1,1057
Guardian Gear,Dogs,2,12.72,4.2,5244,6,5244
GuineaDad,Fish & Aquatic Pets,1,13.95,4.5,101,1,101
Gyuzh,Dogs,2,27.49,4.25,2353,2,2353
H HANDSON,Dogs,1,24.99,4.4,20638,6,20638
H&H Pets,Cats,1,7.99,4.7,9967,1,9967
H&H Pets,Dogs,1,5.49,4.0,3324,2,3324
HACHIKITTY,Cats,1,18.98,4.6,1527,1,1527
HAOBO,Dogs,1,,3.8,9,1,9
HAOCOO,Dogs,1,22.99,4.5,4447,2,4447
HAPEE,Dogs,1,15.99,4.3,2227,2,2227
HAPPINESS APPLY HERE,Small Animals,1,,3.0,762,1,762
HAPPYGREE,Dogs,1,24.87,4.0,739,1,739
HDE,Dogs,2,23.49,4.5,17176,7,17176
HDKUW,Dogs,1,10.99,4.4,943,1,943
HDP,Dogs,3,30.266666666666666,4.366666666666666,2276,6,2276
HDP,Cats,1,7.99,3.7,24,1,24
HEELE,Dogs,1,7.99,3.7,24300,5,24300
HEHUI,Dogs,1,,3.0,221,1,221
HERCOCCI,Small Animals,1,26.99,4.3,133,1,133
HEYWEAN,Cats,1,11.99,4.1,4737,2,4737
HILL'S,Dogs,1,8.99,4.5,6284,16,6284
HILL'S PRESCRIPTION DIET,Cats,2,52.489999999999995,4.65,787,3,787
HINMAY,Dogs,1,6.98,4.8,2178,1,2178
HJGL,Dogs,1,,4.1,88,1,88
HOLYSTEED,Dogs,1,,4.1,156,1,156
HOMEYA,Small Animals,1,17.99,4.4,895,1,895
HONEY CARE,Dogs,1,19.99,4.5,10512,6,10512
HOUND & GATOS,Dogs,1,62.97,4.3,65,1,65
HP95,Dogs,1,,4.1,55,1,55
HS HERM. SPRENGER GERMANY,Dogs,1,67.49,4.5,387,1,387
HUMLANJ,Dogs,1,29.99,4.3,67,1,67
HUSUKU,Dogs,1,9.59,4.3,2254,1,2254
HYPONIC,Dogs,1,24.5,4.5,217,2,217
Habitrail,Small Animals,2,66.28,4.199999999999999,3140,3,3140
Hagen,Birds,3,,4.633333333333333,5143,5,5143
Hagen,Cats,1,,3.2,25,1,25
HaiYUAN,Dogs,1,16.99,4.3,50,1,50
Halo Pets,Dogs,1,,3.2,31,1,31
Halo Purely For Pets,Cats,4,28.365,4.275,7319,14,7319
Halo Purely For Pets,Dogs,4,32.29,4.4,3773,7,3773
Hamiledyi,Reptiles & Amphibians,2,16.99,4.35,2113,2,2113
Hamilton,Dogs,5,19.82,4.38,6970,8,6970
Happy & Polly,Dogs,1,,4.3,826,1,826
Happy Hen Treats,Birds,1,,4.8,1601,1,1601
HappyDogz,Dogs,1,16.49,4.4,4504,3,4504
HappyTails Canine Wellness,Dogs,1,14.95,4.5,77,2,77
Harhana,Dogs,1,19.99,4.7,22,1,22
Hari,Birds,1,104.98,4.4,3724,5,3724
Harikaji,Cats,1,11.99,4.5,418,1,418
Harikaji,Dogs,1,10.99,3.7,550,1,550
Harley-Davidson,Dogs,1,,4.1,100,1,100
Harlow Blend,Cats,1,,4.5,51,1,51
Harness Lead,Dogs,1,,4.2,76,1,76
Harrison's Bird Foods,Birds,2,113.48,4.7,3052,4,3052
Hartz,Dogs,13,25.49125,4.3769230769230765,49517,68,49517
Hartz,Cats,8,7.6625,4.425,55382,31,55382
Havahart Wireless,Dogs,1,,3.0,29,1,29
Hcpet,Dogs,3,30.99,3.9333333333333336,7679,3,7679
Healers,Dogs,1,29.49,3.5,1261,1,1261
Health Extension,Dogs,4,37.2375,4.675,9123,4,9123
Healthy Coat,Birds,1,21.16,4.6,31,1,31
Healthy Dogma,Dogs,1,,4.0,17,1,17
Hear Doggy,Dogs,1,15.66,4.1,6881,3,6881
Heavenly Hounds,Dogs,1,11.99,4.3,2590,1,2590
Heeyoo,Dogs,1,34.99,4.4,391,1,391
Heininger,Dogs,1,26.99,4.5,1686,3,1686
HenBrook,Dogs,1,,4.2,282,1,282
Henry's Healthy Pets,Small Animals,1,17.99,4.5,793,1,793
Hepper,Cats,1,59.5,4.5,170,1,170
Herbal Calming Collars,Dogs,1,,4.0,308,1,308
Herbsmith,Dogs,1,14.99,4.2,3061,4,3061
Hero,Dogs,1,17.1,4.2,287,2,287
Hero Dog,Dogs,2,20.49,4.5,7230,3,7230
Hey-brother,Cats,2,101.99000000000001,4.6,6001,3,6001
Hi Kiss,Dogs,2,9.48,4.5,54209,13,54209
HiCaptain,Dogs,1,36.99,4.6,8885,1,8885
High Hopes,Dogs,1,8.99,4.7,41,1,41
Highwave,Dogs,1,19.95,4.4,8973,3,8973
Hikari,Fish & Aquatic Pets,4,26.575000000000003,4.65,4121,7,4121
Hikiko,Dogs,1,13.99,4.6,774,1,774
Hill's Ideal Balance,Cats,1,,3.8,50,2,50
Hill's Ideal Balance,Dogs,1,,4.2,148,2,148
Hill's Science Diet,Cats,9,49.87,4.566666666666666,35748,25,35748
Hill's Science Diet,Dogs,9,44.27571428571429,4.477777777777778,39499,25,39499
Himalayan Dog Chew,Dogs,1,20.47,4.5,1173,21,1173
Himalayan Secrets,Horses,1,39.95,4.3,1435,1,1435
Hiwzitar,Fish & Aquatic Pets,1,20.99,4.3,386,1,386
Hoki Found,Dogs,1,15.99,4.6,23391,7,23391
Holistic Select Natural Pet Food,Cats,1,,4.1,128,1,128
Hollypet,Cats,1,28.99,4.5,424,1,424
Hollypet,Dogs,1,,4.3,727,1,727
Homdox,Dogs,1,,4.4,75,1,75
HomeDoReMi,Cats,1,11.88,4.4,789,1,789
Homedeco,Dogs,1,,3.7,81,1,81
HomeoPet,Cats,1,14.99,4.3,12275,1,12275
HomeoPet,Horses,1,,4.2,101,1,101
Homessity,Cats,1,,4.1,8,1,8
Homey,Dogs,1,,4.2,339,1,339
Homey Pet,Small Animals,1,649.99,4.4,1721,1,1721
Homimp,Dogs,1,17.95,4.5,2603,1,2603
Homitem,Dogs,1,,2.7,30,1,30
Homland,Dogs,1,,3.9,19,1,19
Honey I'm Home,Dogs,1,,3.5,5,1,5
HoneyGuaridan,Cats,1,,4.0,570,2,570
HooHcc,Dogs,1,99.99,4.7,33,2,33
Hot Dog Collars,Dogs,1,15.95,4.4,225,2,225
Hotop,Cats,1,6.99,4.5,3814,1,3814
Hound Heater,Dogs,1,129.95,4.3,1901,1,1901
Houseables,Dogs,1,66.32,4.4,829,2,829
Howstar,Dogs,5,3.678,4.0600000000000005,12463,7,12463
Hubulk,Dogs,2,8.99,4.5,19228,5,19228
HuggleHounds,Dogs,1,16.99,4.1,9170,3,9170
Humble Pet,Dogs,1,17.99,4.7,1352,1,1352
Humorous.P,Small Animals,1,20.99,4.4,2263,1,2263
Hurray,Dogs,1,6.99,4.1,280,1,280
HurriK9,Dogs,1,59.99,4.2,1038,1,1038
